internID,sub_instance,instance,alternative_names,fields_of_numismatics,cat_i,cat_ii,cat_iii,cat_iv,cat_v,cat_vi,related,german,french,nlp_link
418,,Abundantia,,from_ocre,Female,Deity,Roman,Personification,,,,,,http://www.dbis.cs.uni-frankfurt.de/cnt/id/Abundantia_person
628,,Aeneas,,from_cnt,Male,MythologicalFigure,Roman,,,,,,,http://www.dbis.cs.uni-frankfurt.de/cnt/id/Aeneas_person
501,,Aesculapius,,from_ocre,Male,Deity,Roman,Other,,,,,,http://www.dbis.cs.uni-frankfurt.de/cnt/id/Aesculapius_person
537,,Africa,,from_ocre,Female,Deity,Roman,Personification,,,,,,http://www.dbis.cs.uni-frankfurt.de/cnt/id/Africa_person
534,,Alamannia,,from_ocre,Female,Deity,Roman,Personification,,,,,,http://www.dbis.cs.uni-frankfurt.de/cnt/id/Alamannia_person
478,,Alexandria,,from_ocre,Female,Deity,Roman,Personification,,,,,,http://www.dbis.cs.uni-frankfurt.de/cnt/id/Alexandria_person
54,,Amazon,,from_it,Female,MythologicalFigure,,,,,,,,http://www.dbis.cs.uni-frankfurt.de/cnt/id/amazon_NEW
sub48,Amazon of Smyrna,Amazon,,,Female,MythologicalFigure,,,,,,,,http://www.dbis.cs.uni-frankfurt.de/cnt/id/amazon_NEW
63,,Amphilochos,,from_it,Male,Deity,,,,,,,,http://www.dbis.cs.uni-frankfurt.de/cnt/id/amphilochos_NEW
2,,Amphitrite,,from_it,Female,Deity,,,,,,,,http://www.dbis.cs.uni-frankfurt.de/cnt/id/amphitrite_NEW
259,,Anchialos,Anchiaus,"from_cnt,from_it",Male,Hero,CityFounder,,,,,,,http://www.dbis.cs.uni-frankfurt.de/cnt/id/anchialos_person
615,,Anchises,,from_cnt,Male,MythologicalFigure,,,,,,,,http://www.dbis.cs.uni-frankfurt.de/cnt/id/anchises
55,,Andromeda,,"from_cnt,from_it",Female,MythologicalFigure,,,,,,,,http://www.dbis.cs.uni-frankfurt.de/cnt/id/andromeda_person
416,,Annona,,from_ocre,Female,Deity,Roman,Personification,,,,,,http://www.dbis.cs.uni-frankfurt.de/cnt/id/Annona_person
64,,Anubis,,"from_cnt,from_it",Male,Deity,Egyptian,Other,,,,,,http://www.dbis.cs.uni-frankfurt.de/cnt/id/anubis_person
3,,Aphrodite,,"from_cnt,from_it",Female,Deity,Greek,Olympic,,,Venus,,,https://public.researchspace.org/resource/?uri=http://collection.britishmuseum.org/id/person-institution/56979
