84,"CH 2","CH 3","CH 4","CH 5","CH 6","CH 7","CH 8","CH 9","CH 10",IGCH,Name,Date,"Burial Date c.",Contents,Mints,Disposition,Bibliography,"Sort date",Location,Notes,
,1.093,3.044,,,,,,,,958,"Marasesti, Romania",1909,230,"800 AU","CH 1: An additional Alexander st.

CH 3: Macedonia Philip II St. 4 (Amphipolis 3; Pella 1)
Alexander III St. 69 (Callatis 17;Odessus 7; Lysimacheia 1; Amphipolis
7; Abydus 8; Lainpsacus 8; Miletus 4; Aradus 2; Sidon 1; Ake 1;
Babylon 7; Uncertain 6.)
Macedonia Philip III St. 3 (Abydus 1; Aradus 1; Babylon 1)
Thrace Lysimachus St. 10 (Lampsacus 2; Alexandria Troas 5; Lysimacheia 1;
Byzantium? 1).
Also included in the account are two staters of Lysimachus of Byzantium of the 2nd cent. BC, and 5 of the 1st cent. BC (Callatis 3; Tomis 2) which are believed to have been added to the hoard before final burial c.44 BC.
Antiochus I",dispersed,"C.M. Petolescu, BSNR 1948-1972 (pub. 1974), 71-2.

G. Poenaru Bordea, Dacia 18, 1974, 103-125",,,"Reference to Petolescu in CH 1.

Reference to Poenaru Bordea in CH 3.",
,,,,,,,,9.148,,91,Siphnos,1930,"280-270 BC or later","30+? AR",,,"For the revised burial date of this hoard on the basis of its Rhodian and Athenian contents, see R. Ashton, ‚ÄòRhodian Coinage and the Colossus‚Äô, RN6 30 (1988), p.  84  n.21 and H. Nicolet-Pierre and J.A. Kroll, ‚ÄòAthenian Tetradrachm Coinage of the Third Century BC‚Äô, AJN 2 (1990), p. 23, no. 2.",280,C,,
,,,,,,7.093,,,,888,"Propontis, Turkey",1950,"180-170 or later","162+ AR","Alexander III:
Sicyon 1.
Amphipolis 1.
Pella 10 (including Bottiaean type (9)).
Cabyle 1.
Mesembria 24.
Amisus 1
Heraclea Pontica 1.
Assus 1.
Temnus 11.
Colophon 1.
Miletus 3.
Erythrae 1.
Samos 1.
Mylasa 1.
Rhodes 3.
Phaselis 21.
Aspendus 18.
Perga 39.
Tarsus 1.
Marium 1.
Aradus 7 (to year 61). Uncertain (5), Imitations (6). Carrhae (1), Antigonea (1).
Antiochus I:
Pergamum 1",ANS,"N.M. Waggoner, RN 1979, 7-29
R. Bauslaugh, ‘Cistophoric Countermarks and the Monetary Systems of Eumenes II’, NC 1990, p. 41 and p. 53, note 34
Waggoner, Tresors, pp. 49-56 (is this Seyrig??)
W.E. Metcalf, ‘A late second-century hoard of posthumous Alexanders’, SNR 1994, pp. 19",,,,
,,,,,,,8.122,,,865,"Daeni, Daeni comm., Tulcea county, Romania",1956,"350 BC","c. 130-140 AV, recovered 102","Alexander III
Lysimachus","Galati History Museum","B. Mitrea, Pontica 14 (1981) p. 171-179",,,,
,,,,,,,,,10.116,860,"Garbino, Bulgaria",1914,"c. 170-162 BC","18 + AR","Alexander III drs. Lampsacus: 2
Abydos: 1
‘Colophon’: 5
Miletus: 1
Sardis: 2
Uncert. mint: 1
Philip III drs.
‘Colophon’: 1
Magnesia: 1
Sardis: 3
Histiaea 1 tetrob.","Archaeological Museum, Sofia","B. Rousseva, ‘Отново За Съкровището От гърбиво (IGCH 860)’, НУМИЗМАТИКА И СФРАГИСТИКА 7.1
(2000), pp. 3-12 with summary in French publishes 18 coins from this hoard now in Sofia and discusses the revised burial date.",170,C,,
,,,,,,,8.212,,,859,"Varna, Bulgaria",1955,,"200+ AR","Macedonia, Alexander III: 86 tetradr.","86 in Museum of History and Art Varna","K. Dimitrov, 'Early Hellenistic hoards of Alexander-type silver coins from the museum of history and art in Varna', Etudes balkaniques 3 (1989), pp. 87-110.
B. Rousséva, ‘La Circulation Monétaire en Thrace Pendant la Haute Époque Hellénistique d’Après un certain nombre de trésors trouvés en Bulgarie’, RN 1990, p. 23.",,,,
,,,,,,,8.561,,,856,"Pet Mogili, Bulgaria",1953,,,"Alexander III",,"B. Rousséva, 'Un trésor d'alexandres du village Pet Mogili (IGCH 856)', Numismatica 1 (1986), pp. 11-34.
B. Rousséva, ‘La Circulation Monétaire en Thrace Pendant la Haute Époque Hellénistique d’Après un certain nombre de trésors trouvés en Bulgarie’, RN 1990, p. 23.",,,,
,,,,,,,8.257,,,853,"Malko Topolovo, c. 30 km SE of Plovdiv, Bulgaria",1940,285-275,"96+ AV pot hoard",,"Plovdiv, New York","Gerasimov, BIAB 14 (1940-2), p. 283",,,,
,,,,,,,,9.144,,850,"Byrsine, Thrace",1938,"280 BC","41 AR","Alexander III tetradr.:
Babylon: 1
Alexander III drs.:
Euboea: 1
Lampsacus: 10
Abydos: 2
Teos: 2
Colophon: 12
Magnesia: 4
Sardes: 4
Miletus: 2
Aradus: 1
Uncert.: 1
Lysimachus: 1 tetradr. (T 198)",Athens,"K. Dimitrov, ‚ÄòThe contacts of Thrace during the early Hellenistic age, reflected in some coin hoards‚Äô Bulgarian Historical Review 4 (1990) pp. 47-65.",280,C,,
,,,,,,,8.230,,,836,"Tutrakan, Bulgaria",1964,"300 BC","20+ AR","Macedonia, Alexander III",,"B. Rousséva, K. Koev, 'Trésor monétaire hellénistique de Tutrakan (IGCH 836)', Numismatica 4 (1986), pp. 3-13.
B. Rousséva, ‘La Circulation Monétaire en Thrace Pendant la Haute Époque Hellénistique d’Après un certain nombre de trésors trouvés en Bulgarie’, RN 1990, p. 21, n. 18.",,,,
