CH 1,CH 2,CH 3,CH 4,CH 5,CH 6,CH 7,CH 8,CH 9,CH 10,IGCH,Burial Date c.,From,To,From date,To date
1.001,,,,,,,,,,,550-545,550,545,-550,-545
1.004,,,,,,,,,,,c. 500,500,500,-500,-500
1.015,,,,,,,,,,,425,425,425,-425,-425
1.021,,,,,,,,,,1255,400,400,400,-400,-400
1.023,,,,,,,,,,,early 4th,400,370,-400,-370
1.028,,,,,,,,,,,mid 4th,370,330,-370,-330
1.029,,,,,,,,,,1209,mid 4th,370,330,-370,-330
1.030,,,,,,,,,,,mid 4th,370,330,-370,-330
1.031,,,,,,,,,,,mid 4th,370,330,-370,-330
1.032,,,,,,,,,,1265,mid 4th,370,330,-370,-330
1.034,,,,,,,,,,,mid 4th,370,330,-370,-330
1.035,,,,,,,,,,,mid 4th,370,330,-370,-330
1.036,,,,,,,,,,,mid 4th,370,330,-370,-330
1.040,,,,,,,,,,,315,315,315,-315,-315
1.053,,,,,,,,,,,early 3rd,300,270,-300,-270
1.054,,,,,,,,,,,early 3rd,300,270,-300,-270
1.055,,,,,,,,,,,290-280,290,280,-290,-280
1.056,,,,,,,,,,,275,275,275,-275,-275
1.059,,,,,,,,,,,235,235,235,-235,-235
1.066,,,,,,,,,,,3rd cent.,300,200,-300,-200
1.069,,,,,,,,,,,late 3rd,230,200,-230,-200
1.073,,,,,,,,,,,200,200,200,-200,-200
1.074,,,,,,,,,,,200,200,200,-200,-200
1.075,,,,,,,,,,1413,,,,0,0
1.075,,,,,,,,,,1431,,,,0,0
1.075,,,,,,,,,,1530,,,,0,0
1.075,,,,,,,,,,1533,,,,0,0
1.075,,,,,,,,,,1534,250-200,250,200,-250,-200
1.075,,,,,,,,,,1536,,,,0,0
1.075,,,,,,,,,,1537,,,,0,0
1.075,,,,,,,,,,1538,,,,0,0
1.075,,,,,,,,,,1541,,,,0,0
1.075,,,,,,,,,,1542,,,,0,0
1.075,,,,,,,,,,1544,,,,0,0
1.075,,,,,,,,,,1546,,,,0,0
1.075,,,,,,,,,,1547,,,,0,0
1.075,,,,,,,,,,1550,,,,0,0
1.075,,,,,,,,,,1552,,,,0,0
1.075,,,,,,,,,,1556,,,,0,0
1.075,,,,,,,,,,1557,,,,0,0
1.075,,,,,,,,,,1559,,,,0,0
1.075,,,,,,,,,,1560,,,,0,0
1.075,,,,,,,,,,1561,,,,0,0
1.075,,,,,,,,,,1562,,,,0,0
1.075,,,,,,,,,,1567,,,,0,0
1.075,,,,,,,,,,1568,,,,0,0
1.075,,,,,,,,,,1593,,,,0,0
1.075,,,,,,,,,,1735,,,,0,0
1.075,,,,,,,,,,1744,,,,0,0
1.075,,,,,,,,,,1773,,,,0,0
1.077,,,,,,,,,,,170-160,170,160,-170,-160
1.094,,,,,,,,,,,85 ?,85,85,-85,-85
1.096,,,,,,,,,,,85,85,85,-85,-85
1.102,,,,,,,,,,,60,60,60,-60,-60
1.103,,,,,,,,,,,mid 1st,70,30,-70,-30
1.105,,,,,,,,,,1746,31,31,31,-31,-31
1.107,,,,,,,,,,,1st cent,100,0,-100,0
1.108,,,,,,,,,,,1st cent.,100,0,-100,0
1.109,,,,,,,,,,1420,30,30,30,-30,-30
,2.001,,,,,,,,,,500-480,500,480,-500,-480
,2.002,,,,,,,,,"1289, 1290",300,300,300,-300,-300
,2.004,,,,,,,,,,,,,0,0
,2.007,,,,,,,,,689,550-500,500,500,-500,-500
,2.010,,,,,,,,,,500,500,500,-500,-500
,2.011,,,,,,,,,1178,500-490,500,490,-500,-490
,2.110,,,,,,,,,1359,86,86,86,-86,-86
,2.021,,,,,,,,,,5th cent,500,400,-500,-400
,2.026,,,,,,,,,,450-425,450,425,-450,-425
,2.027,,,,,,,,,,440-430,440,430,-440,-430
,2.032,,,,,,,,,,400,400,400,-400,-400
,2.036,,,,,,,,,,375,375,375,-375,-375
,2.038,,,,,,,,,,4th cent,400,300,-400,-300
,2.040,,,,,,,,,,350,350,350,-350,-350
,2.041,,,,,,,,,1239,,,,0,0
,2.050,,,,,,,,,,325,325,325,-325,-325
,2.054,,,,,,,,,,310,310,310,-310,-310
,2.059,,,,,,,,,1287,300,300,300,-300,-300
,2.060,,,,,,,,,,300 or later,300,200,-300,-200
,2.069,,,,,,,,,,255-250,255,250,-255,-250
,2.073,,,,,,,,,,230,230,230,-230,-230
,2.080,,,,,,,,,,2nd cent,200,100,-200,-100
,2.094,,,,,,,,,,mid 2nd,170,130,-170,-130
,2.105,,,,,,,,,,early 1st,100,70,-100,-70
,2.112,,,,,,,,,,85,85,85,-85,-85
,2.124,,,,,,,,,,mid 1st,70,30,-70,-30
,2.130,,,,,,,,,,late 1st,30,0,-30,0
,,3.002,,,,,,,,1636,500,500,500,-500,-500
,,3.018,,,,,,,,,350,350,350,-350,-350
,,3.019,,,,,,,,,350,350,350,-350,-350
,,3.041,,,,,,,,,240,240,240,-240,-240
,,3.048,,,,,,,,,200,200,200,-200,-200
,,3.076,,,,,,,,,85,85,85,-85,-85
,,,4.009,,,,,,,,480 BC,480,480,-480,-480
,,,4.014,,,,,,,,mid 5th,470,430,-470,-430
,,,4.024,,,,,,,,330,330,330,-330,-330
,,,4.025,,,,,,,,330 or earlier,400,330,-400,-330
,,,4.047,,,,,,,1315,late 3rd,230,200,-230,-200
,,,4.055,,,,,,,,160,160,160,-160,-160
,,,4.059,,,,,,,1326,135-130,135,130,-135,-130
,,,4.059,,,,,,,1327,130,130,130,-130,-130
,,,4.059,,,,,,,1328,130-125,130,125,-130,-125
,,,4.059,,,,,,,1452,150-145,150,145,-150,-145
,,,4.059,,,,,,,1453,150-140,150,140,-150,-140
,,,4.059,,,,,,,1455,125,125,125,-125,-125
,,,4.063,,,,,,,1351,150-100,150,100,-150,-100
,,,4.070,,,,,,,,100 or later,100,60,-100,-60
,,,4.072,,,,,,,,80 BC,80,80,-80,-80
