"CH 1","CH 2","CH 3","CH 4","CH 5","CH 6","CH 7","CH 8","CH 9","CH 10",IGCH,value,type,source
1.001,,,,,,,,,,,"in commerce",Disposition,1.001
1.004,,,,,,,,,,,Ashmolean,Disposition,1.004
1.004,,,,,,,,,,,"E.S.G. Robinson, RN 1973, 229-237",Reference,1.004
1.015,,,,,,,,,,,"Ashmolean and trade",Disposition,1.015
1.015,,,,,,,,,,,"Ashmolean Report 1970/1, 44 ff. illus.",Reference,1.015
1.021,,,,,,,,,,1255,"on file in BM",Note,1.021
1.021,,,,,,,,,,1255,"An extra lot seen in commerce to be added to the coins of IGCH",Note,1.021
1.023,,,,,,,,,,,"in commerce, BM acqu. 13",Disposition,1.023
1.023,,,,,,,,,,,"Fig. 3.",Reference,1.023
1.028,,,,,,,,,,,"In commerce",Disposition,1.028
1.029,,,,,,,,,,1209,dispersed,Disposition,1.029
1.029,,,,,,,,,,1209,"D. Berend, SNR 51, 1972, 5-39",Reference,1.029
1.029,,,,,,,,,,1209,"R. Ashton, ‘The Solar Disk Drachms of Caria’, NC 1990, p. 31, note 7",Reference,1.029
1.030,,,,,,,,,,,"on file in BM",Note,1.030
1.030,,,,,,,,,,,"Fig. 5",Reference,1.030
1.031,,,,,,,,,,,"in commerce",Disposition,1.031
1.031,,,,,,,,,,,"Journal of Numismatic Fine Arts 3, 1974, 40",Reference,1.031
1.031,,,,,,,,,,,"Gitta Kastner Sale 6 (26:xi:74), 39, 70-74",Reference,1.031
1.031,,,,,,,,,,,"Peuss Sale 10: xii: 74, 360",Reference,1.031
1.031,,,,,,,,,,,"Seaby Bulletin, Jan. 1975, A.14",Reference,1.031
1.032,,,,,,,,,,1265,"Adana Museum",Disposition,1.032
1.034,,,,,,,,,,,Ashmolean,Disposition,1.034
1.035,,,,,,,,,,,Ashmolean,Disposition,1.035
1.036,,,,,,,,,,,"H. Drombrowsky Münzhandlung Cat. 57 Feb. 1974, 23-4; Cat. 58 April 1974, 19-37",Reference,1.036
1.040,,,,,,,,,,,"on file in BM",Note,1.040
1.053,,,,,,,,,,,"on file in BM",Note,1.053
1.053,,,,,,,,,,,"S.G.A. Shute collection",Disposition,1.053
1.054,,,,,,,,,,,dispersed,Disposition,1.054
1.054,,,,,,,,,,,"fig. 8",Reference,1.054
1.055,,,,,,,,,,,"M. Kampmann, RN 1972, 151-168",Reference,1.055
1.056,,,,,,,,,,,"in commerce",Disposition,1.056
1.056,,,,,,,,,,,"on file in BM",Note,1.056
1.056,,,,,,,,,,,"Fig. 9",Reference,1.056
1.059,,,,,,,,,,,"in commerce",Disposition,1.059
1.059,,,,,,,,,,,"details on file in BM",Note,1.059
1.066,,,,,,,,,,,"On file in Cabinet des Medailles, Paris. to be published by H. Nicolet",Note,1.066
1.069,,,,,,,,,,,"in commerce",Disposition,1.069
1.069,,,,,,,,,,,"some photos on file in BM",Note,1.069
1.073,,,,,,,,,,,"in commerce",Disposition,1.073
1.073,,,,,,,,,,,"On file in BM",Note,1.073
1.074,,,,,,,,,,,"H. Seyrig, Tresors, pp. 13-20, no. 1",Reference,1.074
1.075,,,,,,,,,,1413,"H. Seyrig, Tresors du Levant (Paris, 1974) ",Reference,1.075
1.075,,,,,,,,,,1413,"SNR 53, 1974, 7-13 ",Reference,1.075
1.075,,,,,,,,,,1413,"R. Bauslaugh, ‘Cistophoric Countermarks and the Monetary Systems of Eumenes II’, NC 1990, pp. 52, 55",Reference,
1.075,,,,,,,,,,1431,"H. Seyrig, Tresors du Levant (Paris, 1974) ",Reference,1.075
1.075,,,,,,,,,,1431,"SNR 53, 1974, 7-13 ",Reference,1.075
1.075,,,,,,,,,,1530,"H. Seyrig, Tresors du Levant (Paris, 1974) ",Reference,1.075
1.075,,,,,,,,,,1530,"SNR 53, 1974, 7-13 ",Reference,1.075
1.075,,,,,,,,,,1533,"H. Seyrig, Tresors du Levant (Paris, 1974) ",Reference,1.075
1.075,,,,,,,,,,1533,"SNR 53, 1974, 7-13 ",Reference,1.075
1.075,,,,,,,,,,1534,"H. Seyrig, Tresors du Levant (Paris, 1974) ",Reference,1.075
1.075,,,,,,,,,,1534,"SNR 53, 1974, 7-13",Reference,1.075
1.075,,,,,,,,,,1534,"Thompson-Bellinger, Yale Class. Stud. 14 (1955), pp. 3-45 ",Reference,
1.075,,,,,,,,,,1534,"Le Rider, Suse, p. 437",Reference,
1.075,,,,,,,,,,1536,"H. Seyrig, Tresors du Levant (Paris, 1974)",Reference,1.075
1.075,,,,,,,,,,1536,"SNR 53, 1974, 7-13 ",Reference,1.075
1.075,,,,,,,,,,1536,"R. Bauslaugh, ‘Cistophoric Countermarks and the Monetary Systems of Eumenes II’, NC 1990, p. 54",Reference,
1.075,,,,,,,,,,1537,"H. Seyrig, Tresors du Levant (Paris, 1974) ",Reference,1.075
1.075,,,,,,,,,,1537,"SNR 53, 1974, 7-13",Reference,1.075
1.075,,,,,,,,,,1537,"R. Bauslaugh, ‘Cistophoric Countermarks and the Monetary Systems of Eumenes II’, NC 1990, pp. 52, 55",Reference,
1.075,,,,,,,,,,1537,"W.E. Metcalf, ‘A late second-century hoard of posthumous Alexanders’, SNR 1994, pp. 19, 48-49, 53 note 32",Reference,
1.075,,,,,,,,,,1538,"H. Seyrig, Tresors du Levant (Paris, 1974) ",Reference,1.075
1.075,,,,,,,,,,1538,"SNR 53, 1974, 7-13",Reference,1.075
1.075,,,,,,,,,,1541,"H. Seyrig, Tresors du Levant (Paris, 1974) ",Reference,1.075
1.075,,,,,,,,,,1541,"SNR 53, 1974, 7-13",Reference,1.075
1.075,,,,,,,,,,1542,"H. Seyrig, Tresors du Levant (Paris, 1974) ",Reference,1.075
1.075,,,,,,,,,,1542,"SNR 53, 1974, 7-13",Reference,1.075
