Name,Discovery Date Start,Discovery Date End,Discovery Date Uncertain,Burial Date Start,Burial Date End,CH 1,CH 2,CH 3,CH 4,CH 5,CH 6,CH 7,CH 8,CH 9,CH 10,IGCH,Place Name,GML-compliant Coordinates,Canonical Geonames URI,Pleiades URI,Pleiades label,Nomisma URI,Geonames Feature Code Cat,Geonames Feature Code,AAT URI,AAT Label,findspot_uncertain,fromDate,fromDate_uncertain,fromDate_approximate,toDate,toDate_uncertain,toDate_approximate,IGCH lat,IGCH long,place,IGCH_region,Period
Asia Minor,1974,1974,,-550,-545,1.001,,,,,,,,,,,Anatolia,,https://sws.geonames.org/323835/,https://pleiades.stoa.org/places/837,Asia Minor,,region,,,,,1974,,,,,,,,,Asia_Minor_uncertain,http://nomisma.org/id/archaic_greece
South Anatolia,1971,1971,,-500,-500,1.004,,,,,,,,,,,Anatolia,,https://sws.geonames.org/323835/,https://pleiades.stoa.org/places/837,Asia Minor,http://nomisma.org/id/greek_southern_asia_minor,region,,,,,1971,,,,,,,,,Asia_Minor_south,http://nomisma.org/id/archaic_greece
Black Sea,1970,1970,true,-425,-425,1.015,,,,,,,,,,,Black Sea,,https://sws.geonames.org/630673/,https://pleiades.stoa.org/places/1224,Pontus Euxinus,,sea,,,,,1970,,TRUE,,,,,,,,http://nomisma.org/id/classical_greece
Cilicia,1957,1957,,-400,-400,1.021,,,,,,,,,,1255,Cilicie,,https://sws.geonames.org/8261117/,https://pleiades.stoa.org/places/658440,Cilicia,,historical region,,,,,1957,,,,,,,,,Asia_Minor_south,http://nomisma.org/id/classical_greece
Ionia,1972,1972,,-400,-366,1.023,,,,,,,,,,,Ionia,,https://sws.geonames.org/12148994/,https://pleiades.stoa.org/places/550597,Ionia (region),,historical region,,,,,1972,,,,,,,,,Asia_Minor_west,http://nomisma.org/id/classical_greece
South of Izmir?,1974,1974,,-367,-333,1.028,,,,,,,,,,,Izmir (Türkiye),"27.13838,38.41273",https://sws.geonames.org/311046/,https://pleiades.stoa.org/places/550771,Naulochon/Smyrna/Palaia Smyrna,,seat of a first-order administrative division,,,,TRUE,1974,,,,,,,,,Asia_Minor_west,http://nomisma.org/id/classical_greece
Marmaris,1970,1971,,-367,-333,1.029,,,,,,,,,,1209,Marmaris (Türkiye),"28.27417,36.855",https://sws.geonames.org/304782/,https://pleiades.stoa.org/places/599888,Physkos,,seat of a second-order administrative division,,,,,1970,,,1971,,,,,,Asia_Minor_west,http://nomisma.org/id/classical_greece
South Turkey,1972,1972,,-367,-333,1.030,,,,,,,,,,,Türkiye,,https://sws.geonames.org/298795/,https://pleiades.stoa.org/places/837,Asia Minor,http://nomisma.org/id/greek_southern_asia_minor,independent political entity,,,,,1972,,,,,,,,,Asia_Minor_south,http://nomisma.org/id/classical_greece
N.W. Turkey,1973,1973,,-367,-333,1.031,,,,,,,,,,,Türkiye,,https://sws.geonames.org/298795/,https://pleiades.stoa.org/places/837,Asia Minor,http://nomisma.org/id/greek_northwestern_asia_minor,independent political entity,,,,,1973,,,,,,,,,Asia_Minor_west,http://nomisma.org/id/classical_greece
"Yurlenik, near Mersin",1940,1940,,-367,-333,1.032,,,,,,,,,,1265,Mersin (Türkiye),"34.63886,36.81196",https://sws.geonames.org/304531/,https://pleiades.stoa.org/places/648810,Zephyrion/Hadrianopolis,,seat of a first-order administrative division,,,,,1940,,,,,,,,,Asia_Minor_south,http://nomisma.org/id/classical_greece
Asia Minor,1965,1965,true,-367,-333,1.034,,,,,,,,,,,Anatolia,,https://sws.geonames.org/323835/,https://pleiades.stoa.org/places/837,Asia Minor,,region,,,,,1965,,TRUE,,,,,,,Asia_Minor_uncertain,http://nomisma.org/id/classical_greece
Asia Minor,1960,1960,true,-367,-333,1.035,,,,,,,,,,,Anatolia,,https://sws.geonames.org/323835/,https://pleiades.stoa.org/places/837,Asia Minor,,region,,,,,1960,,TRUE,,,,,,,Asia_Minor_uncertain,http://nomisma.org/id/classical_greece
Asia Minor,1973,1973,true,-367,-333,1.036,,,,,,,,,,,Anatolia,,https://sws.geonames.org/323835/,https://pleiades.stoa.org/places/837,Asia Minor,,region,,,,,1973,TRUE,,,,,,,,Asia_Minor_uncertain,http://nomisma.org/id/classical_greece
Thessaly,1971,1971,,-315,-315,1.040,,,,,,,,,,,Thessaly (Greece),,https://sws.geonames.org/6697809/,https://pleiades.stoa.org/places/1332,Thessalia,,first-order administrative division,,,,,1971,,,,,,,,,Greece,http://nomisma.org/id/classical_greece
