CH 1,CH 2,CH 3,CH 4,CH 5,CH 6,CH 7,CH 8,CH 9,CH 10,IGCH,Contents,Total count,Min. count,Max. count,Approximate
1.001,,,,,,,,,,,6+ EL,,6,,yes
1.004,,,,,,,,,,,10+ AR,,10,,yes
1.015,,,,,,,,,,,108+ AR 7 hack,,108,,yes
1.021,,,,,,,,,,1255,,,,,
1.023,,,,,,,,,,,52 AR fracs,52,,,
1.028,,,,,,,,,,,28+ AR,,28,,yes
1.029,,,,,,,,,,1209,87+ AR,,87,,yes
1.030,,,,,,,,,,,6+ AR,,6,,yes
1.031,,,,,,,,,,,60+ AR,,60,,yes
1.032,,,,,,,,,,1265,38 AR,38,,,
1.034,,,,,,,,,,,573+ AR,,573,,yes
1.035,,,,,,,,,,,15+ AR,,15,,yes
1.036,,,,,,,,,,,21+ AR,,21,,yes
1.040,,,,,,,,,,,90+ AR,,90,,yes
1.053,,,,,,,,,,,11+ AE,,11,,yes
1.054,,,,,,,,,,,16+ AR,,16,,yes
1.055,,,,,,,,,,,298+ AR,,298,,yes
1.056,,,,,,,,,,,94+ AR,,94,,yes
1.059,,,,,,,,,,,19+ AR,,19,,yes
1.066,,,,,,,,,,,18+ AR,,18,,yes
1.069,,,,,,,,,,,37+ AU,,37,,yes
1.073,,,,,,,,,,,100+ AR,,100,,yes
1.074,,,,,,,,,,,148 AR,148,,,
1.075,,,,,,,,,,1413,,,,,
1.075,,,,,,,,,,1431,,,,,
1.075,,,,,,,,,,1530,,,,,
1.075,,,,,,,,,,1533,,,,,
1.075,,,,,,,,,,1534,1080 AR,1080,,,
1.075,,,,,,,,,,1536,,,,,
1.075,,,,,,,,,,1537,,,,,
1.075,,,,,,,,,,1538,,,,,
1.075,,,,,,,,,,1541,,,,,
1.075,,,,,,,,,,1542,,,,,
1.075,,,,,,,,,,1544,,,,,
1.075,,,,,,,,,,1546,,,,,
1.075,,,,,,,,,,1547,,,,,
1.075,,,,,,,,,,1550,,,,,
1.075,,,,,,,,,,1552,,,,,
1.075,,,,,,,,,,1556,,,,,
1.075,,,,,,,,,,1557,,,,,
1.075,,,,,,,,,,1559,,,,,
1.075,,,,,,,,,,1560,,,,,
1.075,,,,,,,,,,1561,,,,,
1.075,,,,,,,,,,1562,,,,,
1.075,,,,,,,,,,1567,,,,,
1.075,,,,,,,,,,1568,,,,,
1.075,,,,,,,,,,1593,,,,,
1.075,,,,,,,,,,1735,,,,,
1.075,,,,,,,,,,1744,,,,,
1.075,,,,,,,,,,1773,,,,,
1.077,,,,,,,,,,,142+ AR,,142,,yes
1.094,,,,,,,,,,,37+ AR,,37,,yes
1.096,,,,,,,,,,,200+ AR,,200,,yes
1.102,,,,,,,,,,,208+ AR,,208,,yes
1.103,,,,,,,,,,,‘hundreds’ AR,,200,,yes
1.105,,,,,,,,,,1746,AR,,,,
1.107,,,,,,,,,,,AE,,,,
1.108,,,,,,,,,,,523+ AE,,523,,yes
1.109,,,,,,,,,,1420,AE,,,,
,2.001,,,,,,,,,,"9 EL, 1 AU",10,,,
,2.002,,,,,,,,,"1289, 1290",143 AE,143,,,
,2.004,,,,,,,,,,,,,,
,2.007,,,,,,,,,689,3+ EL,,3,,yes
,2.010,,,,,,,,,,14+ AR,,14,,yes
,2.011,,,,,,,,,1178,2000 AR,2000,,,
,2.110,,,,,,,,,1359,,,,,
,2.021,,,,,,,,,,13+ AR,,13,,yes
,2.026,,,,,,,,,,350+ AR,,350,,yes
,2.027,,,,,,,,,,8+ AR,,8,,yes
,2.032,,,,,,,,,,67+ AR,,67,,yes
,2.036,,,,,,,,,,53+ AR,,53,,yes
,2.038,,,,,,,,,,154+ AR,,154,,yes
,2.040,,,,,,,,,,10+ AR,,10,,yes
,2.041,,,,,,,,,1239,,,,,
,2.050,,,,,,,,,,29+ AU,,29,,yes
,2.054,,,,,,,,,,22+ AR,,22,,yes
,2.059,,,,,,,,,1287,129 AE,129,,,
,2.060,,,,,,,,,,22+ AR,,22,,yes
,2.069,,,,,,,,,,5+ AR,,5,,yes
,2.073,,,,,,,,,,6+ AR,,6,,yes
,2.080,,,,,,,,,,17+ AR,,17,,yes
,2.094,,,,,,,,,,50+ AR,,50,,yes
,2.105,,,,,,,,,,34+ AR,,34,,yes
,2.112,,,,,,,,,,AR,,,,
,2.124,,,,,,,,,,26+ AR,,26,,yes
,2.130,,,,,,,,,,146 AR,146,,,
,,3.002,,,,,,,,1636,,,,,
,,3.018,,,,,,,,,9+ AR,,9,,yes
,,3.019,,,,,,,,,4+ EL,,4,,yes
,,3.041,,,,,,,,,AR 235+,,235,,yes
,,3.048,,,,,,,,,40+ AE,,40,,yes
,,3.076,,,,,,,,,1550+ AE,,1550,,yes
,,,4.009,,,,,,,,50+ AR,,50,,yes
,,,4.014,,,,,,,,30+ AR,,30,,yes
,,,4.024,,,,,,,,AR hundreds,,200,,yes
,,,4.025,,,,,,,,152 AR,152,,,
,,,4.047,,,,,,,1315,hundreds AE,,200,,
,,,4.055,,,,,,,,5+ AR,,5,,yes
,,,4.059,,,,,,,1326,100 AR,100,,,
,,,4.059,,,,,,,1327,104 AR,104,,,
,,,4.059,,,,,,,1328,18 AR,18,,,
,,,4.059,,,,,,,1452,54 AR,54,,,
,,,4.059,,,,,,,1453,71+ AR,,71,,yes
,,,4.059,,,,,,,1455,158+ AR,,158,,yes
,,,4.063,,,,,,,1351,AE 5 (additional to IGCH),,5,,
,,,4.070,,,,,,,,4+ AR,,4,,yes
,,,4.072,,,,,,,,53 AR,,53,,yes
,,,,5.002,,,,,,,,,,,
,,,,5.015,,,,,,,300+ AR,,300,,yes
,,,,5.016,,,,,,,74+ AR,,74,,yes
,,,,5.024,,,,,,,14+ AR,,14,,yes
,,,,5.027,,,,,,,35 AR,35,,,
,,,,5.032,,,,,,,1 AU; 21 AR,22,,,
,,,,5.034,,,,,,157,103 AE,103,,,
,,,,5.038,,,,,,,Several AR,,3,9,yes
,,,,5.041,,,,,,,12 AR,12,,,
,,,,5.052,,,,,,1358,,,,,
,,,,5.056,,,,,,1456,,,,,
,,,,5.056,,,,,,1458,,,,,
,,,,5.056,,,,,,1459,,,,,
,,,,5.056,,,,,,1460,,,,,
,,,,5.056,,,,,,1461,,,,,
,,,,5.056,,,,,,1462,,,,,
,,,,5.056,,,,,,1464,,,,,
,,,,,6.011,,,,,,31+ AR,,31,,yes
,,,,,,7.006,,,,,34 EL,34,,,
,,,,,,7.007,,,,,150+ EL,,150,,yes
,,,,,,7.011,,,,,30+ AR,,30,,yes
,,,,,,7.014,,,,,24+ AR,,24,,yes
,,,,,,7.015,,,,,250+ AR,,250,,yes
,,,,,,7.020,,,,1179,19 AR,19,,,
,,,,,,7.027,,,,,3 in excavations,3,,,
,,,,,,7.028,,,,,12 AR,12,,,
,,,,,,7.035,,,,,33 AR,33,,,
,,,,,,7.044,,,,,hundreds AR,,200,,yes
,,,,,,7.047,,,,,10+ AR,,10,,yes
,,,,,,7.048,,,,,30 AU,30,,,
,,,,,,7.049,,,,1664,,,,,
,,,,,,7.051,,,,,33+ AR,,33,,yes
,,,,,,7.058,,,,,52 AR,52,,,
,,,,,,7.060,,,,,567+ AR,,567,,yes
,,,,,,7.062,,,,,7+ AR,,7,,yes
,,,,,,7.066,,,,,8+ AR,,8,,yes
,,,,,,7.071,,,,,37+ AR,,37,,yes
,,,,,,7.076,,,,,6+ AR,,6,,yes
,,,,,,7.089,,,,,40+ AR,,40,,yes
,,,,,,7.092,,,,,several AR,,3,9,yes
,,,,,,7.093,,,,888,162+ AR,,162,,yes
,,,,,,7.095,,,,1343,,,,,
,,,,,,7.099,,,,,22+ AR,,22,,yes
,,,,,,7.100,,,,,20+ AR,,20,,yes
,,,,,,7.105,,,,,84+ AR,,84,,yes
,,,,,,7.106,,,,,hundreds AE,,200,,yes
,,,,,,7.126,,,,,431 AR,431,,,yes
,,,,,,,8.002,,,,"29+ EL, part of a much larger hoard",,29,,yes
,,,,,,,8.003,,,,4 EL,4,,,
,,,,,,,8.005,,,,30+ EL,,30,,yes
,,,,,,,8.006,,,,EL,,,,
,,,,,,,8.007,,,,3 AU; 14 EL,17,,,
,,,,,,,8.008,,,,6 + BI,,6,,yes
,,,,,,,8.009,,,,21+ AR and EL,,21,,yes
,,,,,,,8.010,,,,270 AR with jewellery mainly in fragments,270,,,
,,,,,,,8.011,,,,25+,,25,,yes
,,,,,,,8.012,,,,30+ AV,,30,,yes
,,,,,,,8.014,,,,37+AR,,37,,yes
,,,,,,,8.190,,,1508,7200+ AV (in three lots),,7200,,yes
,,,,,,,8.021,,,1185,30 + AR,,30,,yes
,,,,,,,8.022,,,,15 AR,15,,,
,,,,,,,8.025,,,,c. 40-50 AR,,40,50,yes
,,,,,,,8.026,,,,c. 200 AR,200,,,yes
,,,,,,,8.028,,,,29 AR,29,,,
