Contents,Mints,CH 1,CH 2,CH 3,CH 4,CH 5,CH 6,CH 7,CH 8,CH 9,CH 10,IGCH,Coin count,min coin count,max coin count,coin count approximate,coin count uncertain,Hacksilver coint,Ingot count,lot,Mint 1 URI,Mint 2 URI,mint uncertain,Authority 1 URI,Authority 2 URI,authority uncertain,Stated authority,Dynasty URI,Material 1 URI,Material 2 URI,material uncertain,Denomination 1 URI,Denomination 2 URI,denomination uncertain,Region 1 URI,Region 2 URI,Region 3 URI,Authenticity
6+ EL,"Croesus: 6+ staters, heavy standard",1.001,,,,,,,,,,,,6,,,TRUE,,,,,,,http://nomisma.org/id/croesus_lydia,,,,,http://nomisma.org/id/el,,,http://nomisma.org/id/stater,,,,,,
10+ AR,"Lete 1 st.
Dicaea by Abdera 1 st.
Lycia 1 st.
Asia Minor 1 st.
Salamis 1 st.
Cyprus incert. 1 st
Uncertain 2 st.",1.004,,,,,,,,,,,1,,,,,,,,http://nomisma.org/id/lete,,,,,,,,http://nomisma.org/id/ar,,,http://nomisma.org/id/stater,,,,,,
,,1.004,,,,,,,,,,,1,,,,,,,,http://nomisma.org/id/dicaea_thrace,,,,,,,,http://nomisma.org/id/ar,,,http://nomisma.org/id/stater,,,,,,
,,1.004,,,,,,,,,,,1,,,,,,,,,,,,,,,,http://nomisma.org/id/ar,,,http://nomisma.org/id/stater,,,http://nomisma.org/id/lycia,,,
,,1.004,,,,,,,,,,,1,,,,,,,,,,,,,,,,http://nomisma.org/id/ar,,,http://nomisma.org/id/stater,,,http://nomisma.org/id/asia_minor,,,
,,1.004,,,,,,,,,,,1,,,,,,,,http://nomisma.org/id/salamis_cyprus,,,,,,,,http://nomisma.org/id/ar,,,http://nomisma.org/id/stater,,,,,,
,,1.004,,,,,,,,,,,1,,,,,,,,,,,,,,,,http://nomisma.org/id/ar,,,http://nomisma.org/id/stater,,,http://nomisma.org/id/cyprus,,,
,,1.004,,,,,,,,,,,2,,,,,,,,,,TRUE,,,,,,http://nomisma.org/id/ar,,,http://nomisma.org/id/stater,,,,,,
108+ AR 7 hack,"Segesta 1 didr.
Acanthus 1 tetr. frag
Bisaltae 1 octadr. frag
Thracian Chersonese 1 st.
Athens 16 tetr.
Lycia, Kuprilli 1st.
Side 1 st.
Sole 1 st
Sinope 65 drs.
Tarsus? 1 st.
'Paphos' 2 st.
Persia 10 sigl.
Hacksilver 29",1.015,,,,,,,,,,,1,,,,,,,,http://nomisma.org/id/segesta,,,,,,,,http://nomisma.org/id/ar,,,http://nomisma.org/id/didrachm,,,,,,
,,1.015,,,,,,,,,,,1,,,,,,,,http://nomisma.org/id/acanthus,,,,,,,,http://nomisma.org/id/ar,,,http://nomisma.org/id/tetradrachm,,,,,,
,,1.015,,,,,,,,,,,1,,,,,,,,http://nomisma.org/id/bisaltae,,,,,,,,http://nomisma.org/id/ar,,,http://nomisma.org/id/octadrachm,,,,,,
,,1.015,,,,,,,,,,,1,,,,,,,,http://nomisma.org/id/chersonesus_thrace,,,,,,,,http://nomisma.org/id/ar,,,http://nomisma.org/id/stater,,,,,,
,,1.015,,,,,,,,,,,16,,,,,,,,http://nomisma.org/id/athens,,,,,,,,http://nomisma.org/id/ar,,,http://nomisma.org/id/tetradrachm,,,,,,
,,1.015,,,,,,,,,,,1,,,,,,,,,,,http://nomisma.org/id/kuprlli_lycia,,,,,http://nomisma.org/id/ar,,,http://nomisma.org/id/stater,,,http://nomisma.org/id/lycia,,,
,,1.015,,,,,,,,,,,1,,,,,,,,http://nomisma.org/id/side,,,,,,,,http://nomisma.org/id/ar,,,http://nomisma.org/id/stater,,,,,,
,,1.015,,,,,,,,,,,1,,,,,,,,http://nomisma.org/id/soli-pompeiopolis,,,,,,,,http://nomisma.org/id/ar,,,http://nomisma.org/id/stater,,,,,,
,,1.015,,,,,,,,,,,65,,,,,,,,http://nomisma.org/id/sinope,,,,,,,,http://nomisma.org/id/ar,,,http://nomisma.org/id/drachma,,,,,,
,,1.015,,,,,,,,,,,1,,,,,,,,http://nomisma.org/id/tarsus,,TRUE,,,,,,http://nomisma.org/id/ar,,,http://nomisma.org/id/stater,,,,,,
,,1.015,,,,,,,,,,,2,,,,,,,,http://nomisma.org/id/paphus,,TRUE,,,,,,http://nomisma.org/id/ar,,,http://nomisma.org/id/stater,,,,,,
,,1.015,,,,,,,,,,,10,,,,,,,,http://nomisma.org/id/persia,,,,,,,,http://nomisma.org/id/ar,,,http://nomisma.org/id/siglos,,,,,,
,,1.015,,,,,,,,,,,,,,,,29,,,,,,,,,,,,,,,,,,,,
,"An extra lot seen in commerce to be added to the coins of IGCH:
Azbaal, Cyprus 2
Persia sigl. 1
Celenderis 44
Soli 36",1.021,,,,,,,,,,1255,2,,,,,,,additional to IGCH,,,,http://nomisma.org/id/azbaal_citium,,,,,http://nomisma.org/id/ar,,,,,,,,,
,,1.021,,,,,,,,,,1255,1,,,,,,,additional to IGCH,http://nomisma.org/id/persia,,,,,,,,http://nomisma.org/id/ar,,,http://nomisma.org/id/siglos,,,,,,
