IGCH,"Type URI","Quantity (Certain)","Quantity (Uncertain)",Notes,"To check","Additional Notes"
igch1156,https://greekcoinage.org/iris/id/colophon_kim_kroll_2008_tweflth_twentyfourth,4,,,,
igch1162,https://greekcoinage.org/iris/id/sardes_carradice_1987_croeseid_a_light_au,30,,,,
igch1163,https://greekcoinage.org/iris/id/camirus_bmc_2-11,6,4+,,,
igch1164,https://greekcoinage.org/iris/id/miletus_babelon_1907_429,1,1-7+,,,
igch1164,https://greekcoinage.org/iris/id/miletus_babelon_1907_430,2,1-7+,,,
igch1165,https://greekcoinage.org/iris/id/athens.seltman_1924.d.69-70.73.81,1,,"Nos. 48-51",,
igch1165,https://greekcoinage.org/iris/id/athens.seltman_1924.b.20,2,,"Nos. 48-51",,
igch1165,https://greekcoinage.org/iris/id/athens.seltman_1924.p.167.obol,1,,"Nos. 48-51",,
igch1165,https://greekcoinage.org/iris/id/carthaea_sheedy_2006_i,1,,"No. 16",,
igch1165,https://www.corpus-nummorum.eu/types/3548,2,,"Nos. 46-47",,
igch1165,https://greekcoinage.org/iris/id/ephesus_karwiese_1995_series_iii_ar,1,,"No. 3",,
igch1165,https://greekcoinage.org/iris/id/ephesus_karwiese_1995_series_v,1,,"No. 2",,
igch1165,https://greekcoinage.org/iris/id/miletus_babelon_1907_430,2,,"Nos. 4-6",,
igch1165,https://greekcoinage.org/iris/id/miletus_babelon_1907_429,1,,"Nos. 4-6",,
igch1165,https://greekcoinage.org/iris/id/phocaea_babelon_1907_530,12,,"Nos. 30-41",,
igch1165,https://greekcoinage.org/iris/id/teos_morkholm_1971_21-5,5,,"Nos. 21-25 not in Balcer 1968 (?) but attributed by Mørkholm",,
igch1165,https://greekcoinage.org/iris/id/teos_balcer_1968_i.i-xxxii,4,,"Nos. 26-29",,
igch1165,https://greekcoinage.org/iris/id/chios_hardwick_1991_chian_525-494,1,,"No. 15",,
igch1165,https://greekcoinage.org/iris/id/cos_stefanaki_2012_2.4,1,,"No. 57; not in Stefanaki 2012?",,
igch1165,https://greekcoinage.org/iris/id/ionia_bmc_samos_9,2,,"Nos. 19-20",,
igch1165,https://greekcoinage.org/iris/id/mylasa_sng_kayhan_i_934-8,2,,"Nos. 13-14—currently (mis?)attributed to Mylasa but cf. Hilbert Electrum for identical type",,
