"id","value","type"
"igch1474","Nicosia","disposition"
"igch1474","Wilson, Report of the Department of Antiquities,  Cyprus, 1937-1939, p. 204","ref"
"igch1474","The bronze coin mentioned may be the  core of a pl. tetradr.","note"
"igch0987","Kiev","disposition"
"igch0987","Information from P. O. Karyszkowski","note"
"igch1798","dispersed","disposition"
"igch1798","Abgarians-Sellwood, NC 1971, pp. 103-119, illus.","ref"
"igch1798","The attribution of drachms to Arsaces I  and II is still doubtful. Some scholars prefer an attribution to Mithradates I, in which case the date of burial must be lowered to c. 150 B.C.","note"
"igch1422","dispersed","disposition"
"igch1422","Details on the 9 coins noted above are on file in  the ANS","note"
"igch0909","dispersed","disposition"
"igch0909","Tsontchev, AnnuaireMusNatArchPlovdiv 1960, p. 206","ref"
"igch0909","According to Tsontchev this is not the  same lid. as no. 908 above (Noe 675). The latter was found in a different place, somewhat to the west of Me- ričleri","note"
"igch1580","Copenhagen","disposition"
"igch1580","Thomsen, Hama, Fouilles et recherches 3 (in press)","ref"
"igch1282","Oxford","disposition"
"igch1282","Milne, NC 1913, pp. 395-7","ref"
"igch1607","Amman 44; A. Spaer, Jerusa- lem 65","disposition"
"igch1607","Spaer, NC 1970, pp. 23-8, illus.","ref"
"igch1191","Athens","disposition"
"igch1191","AA 1915, p. 200","ref"
"igch1191","AJA 1920, p. 94","ref"
"igch1191","The references leave no doubt that Noe 244  and 245 are a single hd.","note"
"igch1395","New York 652; Istanbul 30","disposition"
"igch1395","According to the current dating system  (Thompson-Bellinger, YCS 14 [1955], pp. 3 ff.) the latest coins from Miletus and Magnesia were struck c. 310 and 308 B.C. respectively. However, as the other great mints of Asia Minor are only represented by issues down to 319-318 B.C., the series from Miletus and Magnesia may have to be re-dated or some of their coins may be intrusive in the hd.","note"
"igch0194","Jameson 2 (cat. 2067, 2072);  New York 6 flans; Berlin 1 (didr. with royal hd.)","disposition"
"igch0194","Jameson III (Paris, 1924), under no. 2072","ref"
"igch2086","Berlin 25 (all Syracuse; cf.  Lederer, p. 564)","disposition"
"igch2086","Salinas, RN 1867, pp. 335-42, illus.","ref"
"igch2086","Lederer, BMzB 1913, pp. 493-5, 563-72, illus.","ref"
"igch2086","Jenkins, Gela, p. 147","ref"
"igch0548","Bucharest (Inst. Arch.) 23;  Tirgoviste 23; Ploiesti 6","disposition"
"igch0548","Preda, SCN 2 (1958), pp. 380-9, illus.","ref"
"igch0701","dispersed","disposition"
"igch0701","Gerasimov, BIAB 8 (1934), p. 471","ref"
"igch0510","Bucharest (Acad.) 135 as listed","disposition"
"igch0510","Moisil, Balcania 1944, p. 12, illus.","ref"
"igch2112","Salinas some","disposition"
"igch2112","Orsi, Preistoria 1928, p. 56","ref"
"igch2112","Miro, AIIN 1955, p. 95-8","ref"
"igch0419","unknown","disposition"
"igch0419","Steinbüchel, Num J 1837, p. 165","ref"
"igch0419","Rathgeber, Bull.dell' InstCorrArch 1838, pp.  89-91,93-4","ref"
"igch0419","Ljubić, AfÖG 11 (1853), pp. 132-5","ref"
"igch0419","Brunsmid, Die Inschriften and Münzen der  griechischen Städte Dalmatians (Vienna, 1898), p. 35","ref"
"igch0419","See also no. 418 above","note"
"igch0821","dispersed","disposition"
"igch0821","Gerasimov, BIAB 20 (1955), p. 604","ref"
"igch0040","formerly J. P. Shear coll. (stolen Dec. 1968). Prints of 48 Ar- cadian triob. on file in ANS","disposition"
"igch0040","Information on file in ANS","note"
"igch0200","Athens","disposition"
"igch0200","AA 1935, p. 178","ref"
"igch0200","The unpublished hd. of Corinthian bronzes  at Athens, mentioned by Varoucha in E. J. Holmberg, The Swedish Excava- tions at Asea in Arcadia 4: Hellenistic Asea. The Coins. (Lund, 1944), p. 168, note 2, is in all likelihood Kyra Vrysi","note"
"igch1531","Münz. and Med., Basel, 25  (Nov. 17, 1962), no. 443; Winterthur 1","disposition"
"igch1531","Boehringer, Zur Chronologie, pp. 153-4, illus.","ref"
"igch0537","dispersed","disposition"
"igch0537","Mouchmov, BSAB 4 (1914), p. 272","ref"
"igch0106","unknown","disposition"
"igch0106","Riemann, Recherches archéologiques sur les îles","ref"
"igch0106","ioniennes 1 (Paris, 1879), pp. 24-5","ref"
"igch1794","Teheran?","disposition"
"igch1794","Jenkins, Iran 1965, pp. 44-9, illus.","ref"
"igch1623","Jerusalem (Dept. of Ant.)","disposition"
"igch1623","Lambert, PEQ 1927, pp. 184-8","ref"
"igch1623","PEFA 1927, pp. 103-5","ref"
"igch1623","Kadman, INCJ, hoard 18","ref"
"igch1623","Nos. 1-4 with letter Α, given to John  Hyrcanus I, by Lambert are now commonly ascribed to John Hyrca- nus II","note"
"igch2048","Teramo","disposition"
"igch2048","De Petra, NSc 1896, p. 366-8","ref"
"igch2048","Thomsen, ERC I, p. 118","ref"
"igch2048","Crawford, RRCH 101","ref"
"igch0021","Athens","disposition"
"igch0021","A letter from W. Schwabacher mentions a hd. of 35 st. of Aegina seen in Athens in 1936","note"
"igch1815","New York 1 (Phraates III)","disposition"
"igch1815","Malter, Journ. of NUM. Fine Arts 1971, pp. 22-7,  illus.","ref"
"igch1815","Photos of 84 additional coins in ANS","note"
"igch1815","The numbers listed above are based on  c. 500 specimens examined by a correspondent in Iran","note"
"igch1484","Istanbul?","disposition"
"igch1484","AJA 1899, p. 251","ref"
"igch1484","NC 1900, p. 374","ref"
"igch1484","Schlumberger, L'argent grec, p. 8, no. 8","ref"
"igch2234","Syracuse","disposition"
"igch2234","Gentili, AIIN 1956, pp. 109-11; 5-6, p. 285","ref"
"igch2234","Currò Pisanò, AIIN 1962-4, pp. 230-1, 239","ref"
"igch0299","Athens","disposition"
"igch0299","Varoucha, BCH 1952, p. 205","ref"
"igch0830","Mus. of the village Rajkovo,  near Smoljan","disposition"
"igch0830","Gerasimov, BIAB 25 (1962), p. 227","ref"
"igch2312","unknown","disposition"
"igch2312","Chabas, El Archivo 1895, p. 59, illus.","ref"
"igch2312","Hübner, Monumenta linguae ibericae, (Berlin,  1893), p. 212","ref"
"igch2312","Amoros, MEAD, p. 51","ref"
