"id","value","place","geonames_uri","geonames_place"
"igch1278","Vouni, near anc. Marium, , 1928","Vouni","http://www.geonames.org/145986","Vouni (Cyprus)"
"igch2155","Pachino, extreme SE Sicily, 1911","Pachino","http://www.geonames.org/2523938","Pachino (Italy)"
"igch0798","Vekilski, Novi Pazar district, E of Sumen, Bulgaria, 1943","Vekilski","http://www.geonames.org/726013","Vekilski (Bulgaria)"
"igch1896","Metaponto ?, Lucania, 1955","Metaponto","http://www.geonames.org/3173518","Stazione di Metaponto (Italy)"
"igch1665","Egypt, 1893","Egypt","http://www.geonames.org/357994","Egypt (Egypt)"
"igch1260","Cilicia, 1967","Cilicia","http://www.geonames.org/8378491","Cilicia (Roman province) (Turkey)"
"igch0996","Kerch' (anc. Panticapaeum), Crimea oblast, Ukraine, c. 1955 or earlier","Kerch'","http://www.geonames.org/706524","Kerch (Ukraine)"
"igch1099","Anapa (anc. Gorgippia), Krasnodar Territory, RSFSR, 1954","Anapa","http://www.geonames.org/582182","Anapa (Russia)"
"igch1073","Kerch' (anc. Panticapaeum), Crimea oblast, Ukraine, 1902","Kerch'","http://www.geonames.org/706524","Kerch (Ukraine)"
"igch1838","India or Pakistan, before 1938","India or Pakistan","",""
"igch2074","Palermo (anc. Panormus) environs, 1893","Palermo  environs","",""
"igch0532","Pibarica, Teteven district, SW of Loveć, Bulgaria, 1941","Pibarica","",""
"igch1939","Croton ?, Bruttium, 1927 or earlier (277 part)","Croton","http://www.geonames.org/3830947","Croton Cay (Bahamas)"
"igch1909","Caulonia, Bruttium, 1915","Caulonia","http://www.geonames.org/2525053","Caulonia (Italy)"
"igch0528","Cugir, c. 20 km. ENE of Deva, Rumania, 1955","Cugir","http://www.geonames.org/679993","Oraş Cugir (Romania)"
"igch1861","Punch environs, c. 100 km. SW of Srinagar, Kashmir, c. 1890","Punch environs","",""
"igch0378","Olynthus, 1934","Olynthus","http://www.geonames.org/735088","Myriófyto (Greece)"
"igch0010","Pascha, SW of Cyme, Euboea, 1883","Pascha","http://www.geonames.org/512370","Pashskiy Perevoz (Russia)"
"igch0399","Topolčane, just SW of Prilep, S Yugoslavia, c. 1917","Topolčane","http://www.geonames.org/785011","Topolčani (Macedonia)"
"igch2328","Mogente, 65 km. NNW of Alicante, 1910","Mogente","http://www.geonames.org/6362035","Mogente/Moixent (Spain)"
"igch1233","Asia Minor, western, 1967","Asia Minor","http://www.geonames.org/7785010","Minor Lima (Malaysia)"
"igch0009","Eretria, Euboea, c. 1870","Eretria","http://www.geonames.org/338010","Eritrea (Eritrea)"
"igch1822","Oxus River (Takhti-Kubad, at junc-(45, 778) tion of modern Vaksh and Piandzh Rivers), Shaartuz raion, Tadzhikistan (anc. Sogdiana), 1887","Oxus River (Takhti-Kubad","",""
"igch0669","Trâstenik, c. 25 km. NW of Pleven, Bulgaria, 1959","Trâstenik","http://www.geonames.org/727087","Slavyanovo (Bulgaria)"
"igch1377","Asia Minor, northwestern?, 1947 or earlier","Asia Minor","http://www.geonames.org/7785010","Minor Lima (Malaysia)"
"igch0570","Lipnica, c. 32 km. S of Vraca, Bulgaria, 1963","Lipnica","http://www.geonames.org/6461579","Lipnica (Bulgaria)"
"igch2223","Agrigento, 1918","Agrigento","http://www.geonames.org/2525764","Agrigento (Italy)"
"igch0452","Turnu Severin environs (Hinova), Rumania, 1923","Turnu Severin environs","",""
"igch0802","Thrace, c. 1960","Thrace","http://www.geonames.org/6697803","East Macedonia and Thrace (Greece)"
"igch0440","Krusovica, c. 54 km. N of Vraca, Bulgaria, 1960","Krusovica","http://www.geonames.org/729857","Krushovitsa (Bulgaria)"
"igch0909","Meričleri, c. 25 km. N of Haskovo, Bulgaria, 1909","Meričleri","http://www.geonames.org/729150","Merichleri (Bulgaria)"
"igch1153","Ephesus, Ionia, 1905","Ephesus","http://www.geonames.org/7522155","Ephesus (Turkey)"
"igch1795","Pasargadae, 1962","Pasargadae","http://www.geonames.org/121340","Pasargadae (Iran)"
"igch0880","Banja, c. 40 km. W of Sliven, Bulgaria, 1947","Banja","http://www.geonames.org/3204541","Banja Luka (Bosnia and Herzegovina)"
"igch1250","Lycia, 1954","Lycia","http://www.geonames.org/8410801","Lycia (Roman province) (Turkey)"
"igch1757","Mesopotamia or Babylonia, 1957","Mesopotamia or Babylonia","",""
"igch2202","Syracuse, 1926","Syracuse","http://www.geonames.org/5140405","Syracuse (United States)"
"igch0547","Graniceri, c. 34 km. N of Arad, Rumania, 1875","Graniceri","http://www.geonames.org/676790","Comuna Grăniceri (Romania)"
"igch1637","Demanhur (mod. Damanhûr, anc. Dime-n-Hor = Hermopolis parva), 1900-1901","Demanhur (mod. Damanhûr","",""
"igch1350","Izmir region, Ionia, 1969","Izmir region","",""
"igch1201","Durasalar, near Bigadiç (anc. Abbaitis), Mysia, , 1956","Durasalar","http://www.geonames.org/316117","Durasalar (Turkey)"
"igch1656","Garbieh, Garbîya province, Delta, 1896","Garbieh","",""
"igch2210","Vulcano, Lipari Islands, before 1896","Vulcano","http://www.geonames.org/2522705","Vulcano (Italy)"
"igch1431","Mersin (anc. Zephyrium), Cilicia, 1950","Mersin","http://www.geonames.org/304531","Mersin (Turkey)"
"igch1325","Calymna, Caria, 1953","Calymna","http://www.geonames.org/261506","Kalymnos Island (Greece)"
"igch0491","Jasen, c. 10 km. W of Pleven, Bulgaria, 1966","Jasen","http://www.geonames.org/6460297","Jasen (Bulgaria)"
"igch1489","Beithir, 22 km. NE of Saida (anc. Sidon), Phoenicia, 1901","Beithir","",""
"igch1517","Jdita, near anc. Chalcis, Coelesyria, 1894","Jdita","http://www.geonames.org/273355","Jdîta (Lebanon)"
"igch1748","Warka (anc. Orchi of Uruk), Babylonia, 1923","Warka","http://www.geonames.org/78486","Am Warkā (Yemen)"
"igch1122","Cepi (mod. Sennaia), Taman' Peninsula, Krasnodar Territory, RSFSR, 1959","Cepi","http://www.geonames.org/3078131","Čepí (Czechia)"
"igch0064","Corinth, 1932","Corinth","http://www.geonames.org/259289","Corinth (Greece)"
"igch1210","Vourla (now Urla; anc. Clazomenae), Ionia, , 1964","Vourla","http://www.geonames.org/261211","Kaména Voúrla (Greece)"
"igch1467","Asia Minor, 1968","Asia Minor","http://www.geonames.org/7785010","Minor Lima (Malaysia)"
"igch0216","Peloponnesus, 1903","Peloponnesus","http://www.geonames.org/255620","Pelopónnisos (Greece)"
"igch0959","Burgas district, Bulgaria, 1966","Burgas district","",""
"igch0230","Euboea, before c. 1940","Euboea","http://www.geonames.org/262565","Euboea (Greece)"
"igch1706","Saqqara, near Memphis, 20 km. S of Cairo, 1967","Saqqara","http://www.geonames.org/349608","Saqqara (Egypt)"
"igch1908","Calabria (anc. Bruttium), 1864","Calabria","http://www.geonames.org/2523630","Reggio Calabria (Italy)"
"igch1327","Yesilhisar environs, near Savastepe (anc. Ceraseis), Mysia, 1963","Yesilhisar environs","",""
"igch0850","Byrsine, Thrace, 1938","Byrsine","",""
"igch2001","Specchia, 40 km. S of Lecce, Calabria, , 1952","Specchia","http://www.geonames.org/2523030","Specchia (Italy)"
"igch0787","Develt (anc. Deultum), c. 27 km. S of Burgas, Bulgaria, 1921-1922","Develt","http://www.geonames.org/749464","Gebze Fatih Develt Hastanesi (Turkey)"
"igch1186","Bodrum (anc. Halicarnassus), Caria, , c. 1857","Bodrum","http://www.geonames.org/320995","Bodrum (Turkey)"
