"value","uri","type"
"Boeotia","",""
"Cebren","",""
"Heracleia_pontica","",""
"Phoenicia","",""
"abdera_thrace","http://nomisma.org/id/abdera_thrace","mint"
"abydus","http://nomisma.org/id/abydus","mint"
"acanthus","http://nomisma.org/id/acanthus","mint"
"acarnania","http://nomisma.org/id/acarnania","head_1911_region"
"ace","",""
"ace_ptolemais","http://nomisma.org/id/ace_ptolemais","mint"
"achaean_league","http://nomisma.org/id/achaean_league","authority"
"achilleion","http://nomisma.org/id/achilleion","mint"
"adada","http://nomisma.org/id/adada","mint"
"adranum","http://nomisma.org/id/adranum","mint"
"aegae_achaea","http://nomisma.org/id/aegae_achaea","mint"
"aegae_aeolis","http://nomisma.org/id/aegae_aeolis","mint"
"aegae_macedon","http://nomisma.org/id/aegae_macedon","mint"
"aegeira","http://nomisma.org/id/aegeira","mint"
"aegina","http://nomisma.org/id/aegina","head_1911_region"
"aenai","http://nomisma.org/id/aenai","mint"
"aeneia","http://nomisma.org/id/aeneia","mint"
"aenianes","http://nomisma.org/id/aenianes","mint"
"aenus","http://nomisma.org/id/aenus","mint"
"aeotian_league","",""
"aesernia","http://nomisma.org/id/aesernia","mint"
"aetolia","http://nomisma.org/id/aetolia","head_1911_region"
"aetolian_league","http://nomisma.org/id/aetolian_league","mint"
"agrigentum","http://nomisma.org/id/agrigentum","mint"
"alabanda","http://nomisma.org/id/alabanda","mint"
"alexanderiii","",""
"alexandreia_egypt","http://nomisma.org/id/alexandreia_egypt","mint"
"alexandreia_troas","http://nomisma.org/id/alexandreia_troas","mint"
"alexandreis_troas","",""
"alexandria_cyprus","",""
"allifae","http://nomisma.org/id/allifae","mint"
"aluntium","http://nomisma.org/id/aluntium","mint"
"alyzia","http://nomisma.org/id/alyzia","mint"
"amasia","http://nomisma.org/id/amasia","mint"
"amastris","http://nomisma.org/id/amastris","mint"
"amathus","http://nomisma.org/id/amathus","mint"
"ambracia","http://nomisma.org/id/ambracia","mint"
"ami_naea","http://nomisma.org/id/ami_naea","mint"
"amisus","http://nomisma.org/id/amisus","mint"
"amorium","http://nomisma.org/id/amorium","mint"
"amphipolis","http://nomisma.org/id/amphipolis","mint"
"anactorium","http://nomisma.org/id/anactorium","mint"
"andros","http://nomisma.org/id/andros","mint"
"antandrus","http://nomisma.org/id/antandrus","mint"
"antigoneia_syria","http://nomisma.org/id/antigoneia_syria","mint"
"antiocheia_ad_maeandrum","http://nomisma.org/id/antiocheia_ad_maeandrum","mint"
"antiocheia_pontica","",""
"antiocheia_syria","http://nomisma.org/id/antiocheia_syria","mint"
"antiochusiv","",""
"apamea_phrygiae","http://nomisma.org/id/apamea_phrygiae","mint"
"apameia_syria","http://nomisma.org/id/apameia_syria","mint"
"aphytis","http://nomisma.org/id/aphytis","mint"
"apollonia_illyria","http://nomisma.org/id/apollonia_illyria","mint"
"apollonia_pontica","http://nomisma.org/id/apollonia_pontica","mint"
"aptera","http://nomisma.org/id/aptera","mint"
"aquilonia","http://nomisma.org/id/aquilonia","mint"
"aquinum","http://nomisma.org/id/aquinum","mint"
"ar","http://nomisma.org/id/ar","material"
"aradus","http://nomisma.org/id/aradus","mint"
"arcadia","http://nomisma.org/id/arcadia","mint"
"arcadian_league","http://nomisma.org/id/arcadian_league","mint"
"argos_amphilochicim","",""
"argos_amphilochicum","http://nomisma.org/id/argos_amphilochicum","mint"
"argos_argolis","http://nomisma.org/id/argos_argolis","mint"
"ariassus","http://nomisma.org/id/ariassus","mint"
"ariminum","http://nomisma.org/id/ariminum","mint"
"arpi","http://nomisma.org/id/arpi","mint"
"ascalon","http://nomisma.org/id/ascalon","mint"
"asia_minor","http://nomisma.org/id/asia_minor","nomisma_region"
"aspendud","",""
"aspendus","http://nomisma.org/id/aspendus","mint"
"assus","http://nomisma.org/id/assus","mint"
"athens","http://nomisma.org/id/athens","mint"
"atrax","http://nomisma.org/id/atrax","mint"
"attaleia","http://nomisma.org/id/attaleia","mint"
"axus","http://nomisma.org/id/axus","mint"
"babylon","http://nomisma.org/id/babylon","mint"
"bactra","http://nomisma.org/id/bactra","mint"
"bactria","http://nomisma.org/id/bactria","head_1911_region"
"barce","http://nomisma.org/id/barce","mint"
"beroea_macedon","http://nomisma.org/id/beroea_macedon","mint"
"berytus","http://nomisma.org/id/berytus","mint"
"bisaltae","http://nomisma.org/id/bisaltae","mint"
"boeotia","http://nomisma.org/id/boeotia","head_1911_region"
"bosporus","http://nomisma.org/id/bosporus","head_1911_region"
"bottice","http://nomisma.org/id/bottice","mint"
