ID,Title,URI,Findspot
199865,Sestertius with bust of Gallienus,http://numismatics.org/ocre/id/ric.5.gall(1).209,
199870,"Follis with bust of Crispus, struck under Constantine I",http://numismatics.org/ocre/id/ric.7.ar.268,
199874,"Coin with bust of Divus Constantine I, struck under Constantine II, Constantius II, and Constans",http://numismatics.org/ocre/id/ric.8.cyz.4,
199878,Coin with head of Diocletian,http://numismatics.org/ocre/id/ric.6.her.13,
574287,Denarius with bust of Trajan,http://numismatics.org/ocre/id/ric.2.tr.243,
574303,Coin with bust of Galerius Maximian,http://numismatics.org/ocre/id/ric.6.nic.72b,
574304,Bust of Constantine I,http://numismatics.org/ocre/id/ric.7.her.90,
574306,Coin with head of Constantine !,http://numismatics.org/ocre/id/ric.7.cyz.51,
574310,Coin with bust of Crispus Caesar,http://numismatics.org/ocre/id/ric.7.sir.49,
574311,Coin with bust of Crispus Caesar,http://numismatics.org/ocre/id/ric.7.cyz.25,
574312,Coin with bust of Crispus Caesar,http://numismatics.org/ocre/id/ric.7.cyz.25,
574321,Coin of Valentinian I,http://numismatics.org/ocre/id/ric.9.thes.16A,
574322,Coin with bust of Valentinian I,http://numismatics.org/ocre/id/ric.9.thes.18B,
574323,Coin with bust of Valens,http://numismatics.org/ocre/id/ric.9.sis.22A,
574324,Coin with bust of Valens,http://numismatics.org/ocre/id/ric.9.cyz.8B,
574326,Coin with bust of Gratian,http://numismatics.org/ocre/id/ric.9.rom.45B,
574327,Coin with bust of Gratian,http://numismatics.org/ocre/id/ric.9.tri.58A,
574328,Coin with bust of Theodosius I,http://numismatics.org/ocre/id/ric.9.her.26B,
574330,Coin with bust of Theodosius I,http://numismatics.org/ocre/id/ric.9.cnp.52C,
574331,Coin with bust of Theodosius I,http://numismatics.org/ocre/id/ric.9.cnp.89A,
574332,Coin with bust of Theodosius I,http://numismatics.org/ocre/id/ric.9.cnp.83B,
574333,Coin with bust of Theodosius I,http://numismatics.org/ocre/id/ric.9.nic.46A,
574334,Coin with bust of Honorius,http://numismatics.org/ocre/id/ric.10.arc_e.69,
574335,Coin with bust of Honorius,http://numismatics.org/ocre/id/ric.10.arc_e.69,
574338,Coin with bust of  Arcadius,http://numismatics.org/ocre/id/ric.9.cnp.86C,
574340,Coin with bust of  Arcadius,http://numismatics.org/ocre/id/ric.10.arc_e.66,
574341,Coin with bust of  Arcadius,http://numismatics.org/ocre/id/ric.10.arc_e.97,
182383,Semis (aes grave) with Pegasus,http://numismatics.org/crro/id/rrc-18.2,
199594,Follis with bust of Licinius I,http://numismatics.org/ocre/id/ric.7.alex.23,
199590,"Follis with bust of Crispus, struck under Constantine I",http://numismatics.org/ocre/id/ric.7.cyz.25,
183553,Sestertius with bust of Severus Alexander,http://numismatics.org/ocre/id/ric.4.sa.503,
183461,Sestertius with bust of Severus Alexander,http://numismatics.org/ocre/id/ric.4.sa.642b,
183462,"Sestertius with bust of Julia Mamaea, struck under Severus Alexander",http://numismatics.org/ocre/id/ric.4.sa.676,
182764,Sestertius with bust of Gordian III,http://numismatics.org/ocre/id/ric.4.gor_iii.303A,
182851,Sestertius with bust of Gordian III,http://numismatics.org/ocre/id/ric.4.gor_iii.312,
182852,Sestertius with bust of Gordian III,http://numismatics.org/ocre/id/ric.4.gor_iii.335A,
182860,Sestertius with bust of Gordian III,http://numismatics.org/ocre/id/ric.4.gor_iii.307A,
162478,As with bust of Philip I,http://numismatics.org/ocre/id/ric.4.ph_i.172B,
183362,"Sestertius with bust of Otacilia Severa, struck under Philip I",http://numismatics.org/ocre/id/ric.4.ph_i.200A,
183344,Sestertius with bust of Trajan II Decius,http://numismatics.org/ocre/id/ric.4.tr_d.112A,
183347,Sestertius with bust of Trajan II Decius,http://numismatics.org/ocre/id/ric.4.tr_d.109A,
183361,"Sestertius with bust of Herennia Etruscilla, struck under Trajan II Decius",http://numismatics.org/ocre/id/ric.4.tr_d.136B,
183359,Sestertius with bust of Trebonianus Gallus,http://numismatics.org/ocre/id/ric.4.tr_g.116A,
183363,Sestertius with bust of Valerian I,http://numismatics.org/ocre/id/ric.5.val_i.178,
183535,Solidus with head of Constantius II,http://numismatics.org/ocre/id/ric.8.anch.80,
183489,"Quinarius with lituus, jug, and raven, struck under Marc Antony and M. Aemilius Lepidus",http://numismatics.org/crro/id/rrc-489.3,
161956,As with head of Janus,http://numismatics.org/crro/id/rrc-58.3,
161957,Semis with head of Saturn,http://numismatics.org/crro/id/rrc-56.3,
161965,"Quadrans wit head of Hercules, struck under Cn. Domitius (Calvinus or Ahenobarbus?)",http://numismatics.org/crro/id/rrc-261.4,
161978,"Denarius with head of Apollo (?), struck under L. Memmius",http://numismatics.org/crro/id/rrc-304.1,
183601,"Sestertius with carpentum drawn by mules, struck under Tiberius",http://numismatics.org/ocre/id/ric.1(2).tib.50,
183599,As with head of Augustus,http://numismatics.org/ocre/id/ric.1(2).aug.471,
183598,"As with head of Drusus II, struck under Tiberius",http://numismatics.org/ocre/id/ric.1(2).tib.45,
183618,Dupondius with bust of Trajan,http://numismatics.org/ocre/id/ric.2.tr.494,
162251,As with bust of Hadrian,http://numismatics.org/ocre/id/ric.2.hdn.669d,
183958,Sestertius with head of Clodius Albinus,http://numismatics.org/ocre/id/ric.4.ca.52A,
183960,Sestertius with head of Septimius Severus,http://numismatics.org/ocre/id/ric.4.ss.652,
183969,As with bust of Severus Alexander,http://numismatics.org/ocre/id/ric.4.sa.651,
183971,"Denarius with bust of Orbiana, struck under Severus Alexander",http://numismatics.org/ocre/id/ric.4.sa.320,
183980,Sestertius with bust of Gordian III,http://numismatics.org/ocre/id/ric.4.gor_iii.339A,
183982,As with bust of Gordian III,http://numismatics.org/ocre/id/ric.4.gor_iii.297B,
183988,Sestertius with bust of Trebonianus Gallus,http://numismatics.org/ocre/id/ric.4.tr_g.110A,
183987,Sestertius with bust of Trebonianus Gallus,http://numismatics.org/ocre/id/ric.4.tr_g.113,
183986,Sestertius with bust of Trebonianus Gallus,http://numismatics.org/ocre/id/ric.4.tr_g.116A,
178140,Antoninianus with bust of Valerian I,http://numismatics.org/ocre/id/ric.5.val_i.293,
184003,"As with bust of Severina, struck under Aurelian",http://numismatics.org/ocre/id/ric.5.seva.7,
184000,Antoninianus with bust of Probus,http://numismatics.org/ocre/id/ric.5.pro.768,
183998,Quinarius with bust of Carus,http://numismatics.org/ocre/id/ric.5.car.58,
184009,"Antoninianus with bust of Numerian, struck under Carus",http://numismatics.org/ocre/id/ric.5.car.360,
